algoritmo,generacion,fitness,NFE,tiempo
Mejorado,10,-366,1064,0.44046759605407715
Mejorado,11,-366,1168,0.49651408195495605
Mejorado,12,-366,1272,0.5343327522277832
Mejorado,13,-336,1376,0.5598747730255127
Mejorado,14,-336,1480,0.5819272994995117
Mejorado,15,-328,1584,0.6074016094207764
Mejorado,16,-322,1688,0.6353793144226074
Mejorado,17,-322,1792,0.6643812656402588
Mejorado,18,-322,1896,0.6996288299560547
Mejorado,19,-322,2000,0.7324538230895996
Mejorado,20,-322,2104,0.7643930912017822
Mejorado,21,-322,2208,0.7970666885375977
Mejorado,22,-322,2312,0.8347446918487549
Mejorado,23,-322,2416,0.8621828556060791
Mejorado,24,-321,2520,0.8841848373413086
Mejorado,25,-321,2624,0.9067049026489258
Mejorado,26,-321,2728,0.9327049255371094
Mejorado,27,-292,2832,0.958707332611084
Mejorado,28,-292,2936,0.9801130294799805
Mejorado,29,-292,3040,1.0021460056304932
Mejorado,30,-292,3144,1.0241541862487793
Mejorado,31,-292,3248,1.0461437702178955
Mejorado,32,-292,3352,1.0761473178863525
Mejorado,33,-292,3456,1.103668451309204
Mejorado,34,-292,3560,1.1246891021728516
Mejorado,35,-292,3664,1.1490247249603271
Mejorado,36,-292,3768,1.1727182865142822
Mejorado,37,-292,3872,1.198662519454956
Mejorado,38,-292,3976,1.2206885814666748
Mejorado,39,-292,4080,1.2416627407073975
Mejorado,40,-292,4184,1.2636620998382568
Mejorado,41,-292,4288,1.2836875915527344
Mejorado,42,-292,4392,1.3027186393737793
Mejorado,43,-292,4496,1.3227217197418213
Mejorado,44,-292,4600,1.342719316482544
Mejorado,45,-292,4704,1.3617184162139893
Mejorado,46,-292,4808,1.3897247314453125
Mejorado,47,-292,4912,1.4102368354797363
Mejorado,48,-292,5016,1.4292662143707275
Mejorado,49,-292,5120,1.4462370872497559
Mejorado,50,-292,5224,1.4672598838806152
Mejorado,51,-292,5328,1.4862642288208008
Mejorado,52,-292,5432,1.5090034008026123
Mejorado,53,-292,5536,1.5289907455444336
Mejorado,54,-292,5640,1.5469903945922852
Mejorado,55,-292,5744,1.565990686416626
Mejorado,56,-292,5848,1.5880012512207031
Mejorado,57,-292,5952,1.6094133853912354
Mejorado,58,-292,6056,1.6284303665161133
Mejorado,59,-292,6160,1.648411512374878
Mejorado,60,-292,6264,1.670525074005127
Mejorado,61,-292,6368,1.6904170513153076
